,城市,日期,最高气温,最低气温,天气,风向,风力,空气质量指数,空气质量
0,武汉,2018-04-01,27,16,多云,西南风,1-2级,132,轻度污染
1,武汉,2018-04-02,27,16,多云~晴,东南风,1-2级,91,良
2,武汉,2018-04-03,29,14,雷阵雨~阴,东南风,1-2级,82,良
3,武汉,2018-04-04,23,6,阴~中雨,东北风,3-4级,123,轻度污染
4,武汉,2018-04-05,19,6,中雨,东风,1-2级,41,优
5,武汉,2018-04-06,16,3,多云~晴,无持续风向,3-4级,92,良
6,武汉,2018-04-07,17,6,晴,无持续风向,微风,90,良
7,武汉,2018-04-08,23,10,晴,西南风,3-4级,94,良
8,武汉,2018-04-09,26,14,晴,南风,3-4级,90,良
9,武汉,2018-04-10,26,17,晴~多云,南风,1-2级,97,良
10,武汉,2018-04-11,26,18,小雨,南风,1-2级,107,轻度污染
11,武汉,2018-04-12,25,12,小雨,无持续风向,微风,86,良
12,武汉,2018-04-13,21,12,中雨~小雨,东北风,3-4级,43,优
13,武汉,2018-04-14,18,9,阴~多云,无持续风向,3-4级,49,优
14,武汉,2018-04-15,20,7,多云,东北风,1-2级,298,重度污染
15,武汉,2018-04-16,22,10,多云~晴,东南风,1-2级,263,重度污染
16,武汉,2018-04-17,25,12,晴,南风,1-2级,143,轻度污染
17,武汉,2018-04-18,27,14,晴,南风,1-2级,113,轻度污染
18,武汉,2018-04-19,29,18,多云,南风,1-2级,93,良
19,武汉,2018-04-20,30,20,小雨~中雨,东南风,1-2级,90,良
20,武汉,2018-04-21,30,18,中雨~小雨,东北风,3-4级,62,良
21,武汉,2018-04-22,24,12,大雨~中雨,东风,4-5级,55,良
22,武汉,2018-04-23,19,14,多云~阴,东风,4-5级,33,优
23,武汉,2018-04-24,22,14,阴~多云,东北风,1-2级,61,良
24,武汉,2018-04-25,22,14,多云~小雨,无持续风向,微风,65,良
25,武汉,2018-04-26,23,13,多云,西风,1-2级,70,良
26,武汉,2018-04-27,27,15,晴~阴,西北风,1-2级,85,良
27,武汉,2018-04-28,27,18,多云~小雨,东南风,1-2级,82,良
28,武汉,2018-04-29,27,19,小雨~阴,南风,1-2级,70,良
29,武汉,2018-04-30,30,20,阴~小雨,南风,1-2级,57,良
